,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit-Builder Loan,Personal Loan,Debt Consolidation Loan,Student Loan,Payday Loan,Mortgage Loan,Auto Loan,Home Equity Loan,High_spent_Medium_value_payments,High_spent_Small_value_payments,Low_spent_Large_value_payments,Low_spent_Medium_value_payments,Low_spent_Small_value_payments,Credit_Score
0,19114.12,3,4,3,4.0,3,7.0,11.27,4.0,1.0,809.98,26.822619623699016,265.0,0,49.57494921489417,80.41529543900253,312.49408867943663,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,2
1,19114.12,3,4,3,4.0,-1,19.0,11.27,4.0,2.0,809.98,31.94496005538421,191.0,0,49.57494921489417,118.28022162236736,284.62916249607184,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,2
2,19114.12,3,4,3,4.0,3,7.0,8.22,4.0,2.0,809.98,28.60935202206993,267.0,0,49.57494921489417,81.699521264648,331.2098628537912,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,2
3,19114.12,3,4,3,4.0,5,4.0,6.27,4.0,2.0,809.98,31.377861869582357,268.0,0,49.57494921489417,199.4580743910713,223.45130972736786,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
4,19114.12,3,4,3,4.0,6,19.0,11.27,4.0,2.0,809.98,24.797346908844982,269.0,0,49.57494921489417,41.420153086217326,341.48923103222177,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,2
5,19114.12,3,4,3,4.0,8,4.0,9.27,4.0,2.0,809.98,27.26225871052017,270.0,0,49.57494921489417,62.430172331195294,340.4792117872438,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
6,19114.12,3,4,3,4.0,3,8.0,11.27,4.0,2.0,809.98,22.53759303178384,271.0,0,49.57494921489417,178.3440674122349,244.5653167062043,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
7,19114.12,3,4,3,4.0,3,6.0,11.27,4.0,2.0,809.98,23.93379480196552,191.0,0,49.57494921489417,24.785216509052056,358.12416760938714,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1
8,34847.84,2,4,6,1.0,3,4.0,5.42,2.0,2.0,605.03,24.46403063758457,319.0,0,18.816214573128885,104.291825168246,470.69062692529184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
9,34847.84,2,4,6,1.0,7,1.0,7.42,2.0,2.0,605.03,38.550848433956325,320.0,0,18.816214573128885,40.39123782853101,484.5912142650067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
10,34847.84,2,1385,6,1.0,3,-1.0,5.42,2.0,1.0,605.03,33.22495078663659,321.0,0,18.816214573128885,58.51597569589465,466.46647639764313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
11,34847.84,2,4,6,1.0,3,3.0,5.42,2.0,2.0,605.03,39.18265565546884,322.0,0,18.816214573128885,99.30622796053305,465.6762241330048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2
12,34847.84,2,4,6,1.0,3,1.0,6.42,2.0,2.0,605.03,34.97789474709241,323.0,0,18.816214573128885,130.11542024292334,444.8670318506144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2
13,34847.84,2,4,6,1.0,3,0.0,5.42,2.0,2.0,605.03,33.38101020065065,324.0,0,18.816214573128885,43.477190144355745,481.505261949182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
14,34847.84,2,4,6,1.0,3,4.0,5.42,2.0,2.0,605.03,31.131701611553307,325.0,0,18.816214573128885,70.10177420755677,464.8806778859809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,2
15,34847.84,2,4,6,1.0,3,4.0,5.42,2.0,2.0,605.03,32.933856293622235,326.0,0,18.816214573128885,218.90434353388733,356.07810855965045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2
16,143162.64,1,5,8,3.0,5,8.0,7.1,3.0,2.0,1303.01,28.616734823006844,213.0,0,246.9923194537421,168.413702679309,1043.3159778669492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
17,143162.64,1,5,8,3.0,13,6.0,7.1,3.0,2.0,1303.01,41.70257342393906,214.0,0,246.9923194537421,232.86038375993544,998.8692967863226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
18,143162.64,1,5,8,3.0,8,7.0,11.1,4.0,2.0,1303.01,26.519815391546494,215.0,0,246.9923194537421,10000.0,715.741367403555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,2
19,143162.64,1,5,8,3.0,8,5.0,9.1,3.0,1.0,1303.01,39.50164810812735,191.0,0,246.9923194537421,825.2162699393922,426.5134106068658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,2
20,143162.64,1,5,8,3.0,10,5.0,7.1,3.0,2.0,1303.01,31.37614957421204,217.0,0,246.9923194537421,430.9475278803298,810.7821526659284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,2
21,143162.64,1,5,8,967.0,8,6.0,7.1,3.0,2.0,1303.01,39.78399345802119,218.0,0,246.9923194537421,257.80809942568976,963.9215811205684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,2
22,143162.64,1,5,8,3.0,8,6.0,7.1,3.0,2.0,1303.01,38.068623627698585,219.0,0,246.9923194537421,263.17416316163934,968.5555173846187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1
23,143162.64,1,5,8,3.0,8,6.0,7.1,3.0,2.0,1303.01,38.37475294778511,220.0,0,246.9923194537421,10000.0,895.494583180492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1
24,30689.89,2,5,4,1.0,0,6.0,1.99,4.0,2.0,632.46,26.54422872407309,207.0,0,16.415451659824875,81.22885871073616,433.6047729627723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
25,30689.89,2,5,4,1.0,5,3.0,1.99,4.0,2.0,632.46,35.279981779008544,208.0,0,16.415451659824875,124.88181990234848,409.95181177115995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
26,30689.89,2,5,4,1.0,3,9.0,1.99,4.0,2.0,632.46,32.30116343180253,209.0,0,16.415451659824875,83.40650880252501,411.42712287098345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
27,30689.89,2,5,4,1.0,7,6.0,-2.01,4.0,2.0,632.46,38.132348192570056,210.0,0,16.415451659824875,272.3340373956682,262.4995942778403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
28,30689.89,2,5,4,1.0,5,6.0,-1.01,4.0,2.0,632.46,41.15431654696947,211.0,0,16.415451659824875,10000.0,359.37491550776383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
29,30689.89,2,5,4,1.0,5,6.0,-3.01,4.0,1.0,632.46,27.4454217928553,212.0,0,16.415451659824875,84.95284817115969,419.8807835023488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
30,30689.89,2,5,4,1.0,5,19.0,1.99,4.0,2.0,632.46,26.05639527857161,213.0,0,16.415451659824875,71.28367488286933,443.5499567906391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
31,30689.89,2,5,4,-100.0,4,9.0,1.99,4.0,2.0,632.46,27.332514927554215,214.0,0,16.415451659824875,125.61725053231268,379.21638114119577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
32,35547.71,7,5,5,0.0,5,19.0,2.58,4.0,1.0,943.86,39.79776423199917,368.0,1,0.0,276.72539431736266,288.60552234930395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
33,35547.71,7,5,5,0.0,9,19.0,2.58,4.0,1.0,943.86,27.02036025389693,369.0,0,0.0,74.44364104999623,460.88727561667037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
34,35547.71,7,5,5,-100.0,5,12.0,2.58,4.0,1.0,943.86,23.462303036448013,370.0,1,0.0,173.13865100158367,392.1922656650829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1
35,35547.71,7,5,5,0.0,1,15.0,2.58,4.0,1.0,943.86,28.924953778098622,371.0,1,0.0,96.78548508587444,438.5454315807922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
36,35547.71,7,5,5,0.0,9,17.0,2.58,4.0,1.0,943.86,41.77618715055719,372.0,1,0.0,62.72327834435009,482.6076383223166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
37,35547.71,7,5,5,0.0,5,15.0,2.58,4.0,1.0,943.86,29.217556326688413,373.0,1,0.0,37.64363788963997,497.6872787770267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
38,35547.71,7,5,5,0.0,10,15.0,2.58,4.0,1.0,943.86,26.263822692130155,374.0,1,0.0,181.0119827315892,394.31893393507744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
39,35547.71,7,5,5,-100.0,1,15.0,2.58,4.0,1.0,943.86,25.86292247432155,375.0,1,0.0,181.33090096186916,364.00001570479753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1
40,73928.46,4,1288,8,0.0,12,10.0,10.14,2.0,2.0,548.2,39.96268501363903,191.0,0,15015.0,98.67440994166124,740.1960900583389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2
41,73928.46,4,5,8,0.0,8,7.0,10.14,2.0,2.0,548.2,42.76986440325711,384.0,0,0.0,172.93921446875606,705.931285531244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,2
42,73928.46,4,5,8,0.0,8,7.0,10.14,2.0,2.0,548.2,40.7121865299296,191.0,0,0.0,150.05973429800815,698.8107657019921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,2
43,73928.46,4,5,8,0.0,8,7.0,10.14,2.0,2.0,548.2,30.201657705809275,386.0,0,0.0,618.2023912505837,270.66810874941655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2
44,73928.46,4,5,5318,0.0,11,7.0,10.14,2.0,1.0,548.2,26.33331042687101,387.0,0,0.0,177.95183568608738,690.9186643139128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,2
