lval,op,rval,Estimate,Std. Err,z-value,p-value
S,~,A,-3.0868096256014907,3.6207713200557015,-0.8525281915769127,0.39392099885286047
A,~,P,-0.044668775577411966,0.27024712348663893,-0.16528862546599915,0.8687168112455148
P,~,S,-0.07325349043661987,0.27387834768612085,-0.26746725710608127,0.7891094211482566
s1,~,S,1.0,-,-,-
s2,~,S,0.21759617899651798,0.29401463547791734,0.7400862159194146,0.45924768202634114
s3,~,S,0.16575313616596699,0.24192764594237173,0.6851351589837111,0.49325863571629247
a1,~,A,1.0,-,-,-
a2,~,A,3.0351679339531312,3.8057759387149517,0.7975161919220027,0.4251513028259981
a3,~,A,-1.0769634870469014,1.5239287646190862,-0.706701987684698,0.47975169407973306
p1,~,P,1.0,-,-,-
p2,~,P,-0.017861570691703254,0.2246791585237307,-0.07949811993682186,0.9366364269549847
p3,~,P,0.30086770397605966,1.6884383876257756,0.17819288295082614,0.8585714988600666
A,~~,A,0.09114315817245554,0.19190556702976194,0.4749375413264876,0.6348314922838791
P,~~,P,1.8841770071393116,10.389466137583078,0.1813545549105038,0.8560892872571821
S,~~,S,2.1129911245178485,3.632356419196502,0.5817135987400357,0.5607596101774972
a1,~~,a1,1.7122665670390202,0.4603499325579815,3.7194891232435214,0.00019962614326840544
a2,~~,a2,0.9389583534533691,0.9037579045241307,1.0389489804205188,0.2988284649389983
a3,~~,a3,1.7418477539500914,0.4712449459509961,3.6962682972254663,0.00021879175472250267
p1,~~,p1,1.3466497118855877e-18,10.38595696732168,1.2966062887825835e-19,1.0
p2,~~,p2,2.2660482979304204,0.5851005370535549,3.872921240745902,0.00010753858700951469
p3,~~,p3,1.9882708586596656,1.071182605287476,1.8561455804486406,0.06343281037722659
s1,~~,s1,1.0210450247673617e-16,3.4838939781302773,2.9307580287361074e-17,1.0
s2,~~,s2,1.8390545884343632,0.5026780131221362,3.6585140794369053,0.00025368180679641306
s3,~~,s3,1.809580034992036,0.47693505215301396,3.794185448981591,0.00014812893442095465
